MatchId,BotType,Result,TimeMs,TotalClicks
479,RandomBot,DEFEAT,0,3
480,RandomBot,DEFEAT,0,5
481,RandomBot,DEFEAT,0,5
482,RandomBot,DEFEAT,0,4
483,RandomBot,DEFEAT,0,2
484,RandomBot,DEFEAT,0,4
485,RandomBot,DEFEAT,0,2
486,RandomBot,DEFEAT,0,3
487,RandomBot,DEFEAT,0,6
488,RandomBot,DEFEAT,0,8
489,RandomBot,DEFEAT,0,2
490,RandomBot,DEFEAT,0,3
491,RandomBot,DEFEAT,0,3
492,RandomBot,DEFEAT,0,3
493,RandomBot,DEFEAT,0,6
494,RandomBot,DEFEAT,0,4
495,RandomBot,DEFEAT,0,2
496,RandomBot,DEFEAT,0,3
497,RandomBot,DEFEAT,0,2
498,RandomBot,DEFEAT,0,7
499,RandomBot,DEFEAT,0,4
500,RandomBot,DEFEAT,0,5
501,RandomBot,DEFEAT,0,4
502,RandomBot,DEFEAT,0,1
503,RandomBot,DEFEAT,0,4
504,RandomBot,DEFEAT,0,7
505,RandomBot,VICTORY,0,3
506,RandomBot,DEFEAT,0,1
507,RandomBot,DEFEAT,0,3
508,RandomBot,DEFEAT,0,4
509,RandomBot,DEFEAT,1,6
510,RandomBot,DEFEAT,0,4
511,RandomBot,DEFEAT,0,8
512,RandomBot,DEFEAT,0,2
513,RandomBot,DEFEAT,0,3
514,RandomBot,DEFEAT,0,8
515,RandomBot,DEFEAT,0,7
516,RandomBot,DEFEAT,0,4
517,RandomBot,DEFEAT,0,4
518,RandomBot,DEFEAT,0,6
519,RandomBot,DEFEAT,0,5
520,RandomBot,DEFEAT,0,2
521,RandomBot,DEFEAT,0,5
522,RandomBot,DEFEAT,0,1
523,RandomBot,DEFEAT,0,12
524,RandomBot,DEFEAT,0,6
525,RandomBot,DEFEAT,0,1
526,RandomBot,DEFEAT,0,3
527,RandomBot,DEFEAT,1,11
528,RandomBot,DEFEAT,0,4
529,RandomBot,DEFEAT,0,2
530,RandomBot,DEFEAT,0,7
531,RandomBot,DEFEAT,0,3
532,RandomBot,DEFEAT,0,5
533,RandomBot,DEFEAT,0,4
534,RandomBot,DEFEAT,0,1
535,RandomBot,DEFEAT,0,7
536,RandomBot,DEFEAT,0,2
537,RandomBot,DEFEAT,0,3
538,RandomBot,DEFEAT,0,4
539,RandomBot,DEFEAT,0,6
540,RandomBot,DEFEAT,0,4
541,RandomBot,DEFEAT,0,6
542,RandomBot,DEFEAT,0,7
543,RandomBot,DEFEAT,0,12
544,RandomBot,DEFEAT,0,3
545,RandomBot,DEFEAT,0,2
546,RandomBot,DEFEAT,0,4
547,RandomBot,DEFEAT,0,3
548,RandomBot,DEFEAT,0,2
549,RandomBot,DEFEAT,0,3
550,RandomBot,DEFEAT,1,2
551,RandomBot,DEFEAT,0,6
552,RandomBot,DEFEAT,0,2
553,RandomBot,DEFEAT,0,9
554,RandomBot,DEFEAT,0,5
555,RandomBot,DEFEAT,0,4
556,RandomBot,DEFEAT,0,2
557,RandomBot,DEFEAT,0,3
558,RandomBot,DEFEAT,0,7
559,RandomBot,DEFEAT,0,5
560,RandomBot,DEFEAT,0,3
561,RandomBot,DEFEAT,0,2
562,RandomBot,DEFEAT,0,3
563,RandomBot,DEFEAT,0,4
564,RandomBot,DEFEAT,0,4
565,RandomBot,DEFEAT,0,2
566,RandomBot,DEFEAT,0,3
567,RandomBot,DEFEAT,0,2
568,RandomBot,DEFEAT,0,3
569,RandomBot,DEFEAT,0,3
570,RandomBot,DEFEAT,0,3
571,RandomBot,DEFEAT,0,1
572,RandomBot,DEFEAT,0,1
573,RandomBot,DEFEAT,0,7
574,RandomBot,DEFEAT,0,3
575,RandomBot,DEFEAT,0,8
576,RandomBot,DEFEAT,0,4
577,RandomBot,DEFEAT,1,4
578,RandomBot,DEFEAT,0,3
579,RandomBot,DEFEAT,0,3
580,RandomBot,DEFEAT,0,2
581,RandomBot,DEFEAT,0,5
582,RandomBot,DEFEAT,0,3
583,RandomBot,DEFEAT,0,4
584,RandomBot,DEFEAT,0,5
